,Unnamed: 0,Unnamed: 0.1,Datetime,Tweet Id,Raw content,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count,View Count,Hashtags,Media,Coordinates,Place,Informative/Not Informative
2268327,2268327,497548,2017-08-29 18:33:23+00:00,"9,02600079483253E+017",RT @YEARSofLIVING: Here are the #ClimateFacts about #HurricaneHarvey. https://t.co/lECmNlmbCh,RT @YEARSofLIVING: Here are the #ClimateFacts about #HurricaneHarvey. https://t.co/lECmNlmbCh,cdr,0,13621,0,0,,"['ClimateFacts', 'HurricaneHarvey']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/902176180912128000/pu/img/JqLHRmCTQzFV7KvO.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/902176180912128000/pu/vid/480x480/zZ3QpG5dYY6JUvfg.mp4', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/902176180912128000/pu/pl/O6jWCs5ITOyzwqkI.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/902176180912128000/pu/vid/240x240/wZD6JqJ2_kk03cql.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/902176180912128000/pu/vid/720x720/F7EcaaHOz9zSg0zS.mp4', contentType='video/mp4', bitrate=1280000)], duration=88.505, views=1157766, altText=None)]",,,1
3162189,3162189,803504,2017-08-31 19:59:16+00:00,"9,03346469880648E+017",RT @HumaneSociety: Please RT! 🐶🐱❤️ #HurricaneHarvey https://t.co/LEfNgITKxC,RT @HumaneSociety: Please RT! 🐶🐱❤️ #HurricaneHarvey https://t.co/LEfNgITKxC,reneesundberg,0,1043,0,0,,['HurricaneHarvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIkTLbMXUAI_U0L?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIkTLbMXUAI_U0L?format=jpg&name=orig', altText=None)]",,,0
3226289,3226289,867604,2017-09-01 00:25:18+00:00,"9,03413417976807E+017",Una panadería mexicana entregó más de 2 toneladas de pan a damnificados del huracán #Harvey https://t.co/yNzWCZoOQ6,Una panadería mexicana entregó más de 2 toneladas de pan a damnificados del huracán #Harvey https://t.co/yNzWCZoOQ6,ElInformanteMX,6,61,93,5,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DImRtWsXgAEg3Jk?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DImRtWsXgAEg3Jk?format=jpg&name=orig', altText=None)]",,,0
1625752,1625752,434329,2017-08-28 13:28:29+00:00,"9,02160961280381E+017",RT @DeneigeFOX26: Surreal. #Harvey in Dickinson https://t.co/JfvCytId8D,RT @DeneigeFOX26: Surreal. #Harvey in Dickinson https://t.co/JfvCytId8D,CHeathWFTV,0,530,0,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DIRFCl8XcAAqsl5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIRFCl8XcAAqsl5?format=jpg&name=orig', altText=None)]",,,1
1334397,1334397,142974,2017-08-27 22:52:03+00:00,"9,01940399379321E+017",RT @AmericanHotLips: #HoustonFloods Believe it or not THIS is a runway at Houston Hobby Airport 😳😱 #PrayersforTexas https://t.co/0GPERgDlrw,RT @AmericanHotLips: #HoustonFloods Believe it or not THIS is a runway at Houston Hobby Airport 😳😱 #PrayersforTexas https://t.co/0GPERgDlrw,jbow45,0,138,0,0,,"['HoustonFloods', 'PrayersforTexas']","[Photo(previewUrl='https://pbs.twimg.com/media/DIRVgQNUEAEqbjw?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIRVgQNUEAEqbjw?format=jpg&name=orig', altText=None)]",,,1
1330093,1330093,138670,2017-08-27 22:45:24+00:00,"9,01938727584457E+017",RT @NewsCameraFish: Hwy 288 now. @abc13houston #Harvey https://t.co/WzGfGMdm8F,RT @NewsCameraFish: Hwy 288 now. @abc13houston #Harvey https://t.co/WzGfGMdm8F,RealRyan_89,0,149,0,0,,['Harvey'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/901918729583247360/pu/img/DdWYYnrFq5vMaXEj.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/901918729583247360/pu/vid/640x360/q829xFFUk_g06pP7.mp4', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901918729583247360/pu/vid/1280x720/zg4SDvF5dQ9lkI4T.mp4', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901918729583247360/pu/vid/320x180/V8vYZRIAuZ3P_Guo.mp4', contentType='video/mp4', bitrate=256000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901918729583247360/pu/pl/1P3OE0l_9xOhwbAi.m3u8', contentType='application/x-mpegURL', bitrate=None)], duration=27.418, views=10379, altText=None)]",,,1
3331758,3331758,973073,2017-09-01 15:25:27+00:00,"9,03639950691848E+017",RT @FoxNews: Places to donate items from to help victims of #Harvey. https://t.co/91Pa0SE6CA #FoxandFriends https://t.co/ca5D0gKQ0s,RT @FoxNews: Places to donate items from to help victims of #Harvey. fxn.ws/2grCDS3 #FoxandFriends https://t.co/ca5D0gKQ0s,MWhitema1,0,45,0,0,,"['Harvey', 'FoxandFriends']","[Photo(previewUrl='https://pbs.twimg.com/media/DIo79tAUEAAKsPW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIo79tAUEAAKsPW?format=jpg&name=orig', altText=None)]",,,0
297504,297504,297504,2017-08-25 18:58:10+00:00,"9,01156764758008E+017",RT @mikeseidel: Wind and waves ramping up in the bay in Port Lavaca TX as #Harvey churns toward us. https://t.co/OnQqoK3LPM,RT @mikeseidel: Wind and waves ramping up in the bay in Port Lavaca TX as #Harvey churns toward us. https://t.co/OnQqoK3LPM,MaryAliceBisho2,0,76,0,0,,['Harvey'],"[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/901131884645597184/pu/img/MfCHxEZqvvq4FNNT.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/901131884645597184/pu/vid/640x360/288viIEsPNCHQoe5.mp4', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901131884645597184/pu/pl/6-fkLWyTvQzq2UcS.m3u8', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/901131884645597184/pu/vid/1280x720/DUM5P8XpmlD7erMI.mp4', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/ext_tw_video/901131884645597184/pu/vid/320x180/zeJxkZEtIw0jK1lu.mp4', contentType='video/mp4', bitrate=256000)], duration=29.132, views=32314, altText=None)]",,,0
3048468,3048468,689783,2017-08-31 13:00:04+00:00,"9,03240974788424E+017",RT @g1: Furacão Harvey atinge os EUA; FOTOS https://t.co/q3BBffbTsB #Harvey #G1 https://t.co/YKpfTBqCu2,RT @g1: Furacão Harvey atinge os EUA; FOTOS glo.bo/2xBkkgf #Harvey #G1 https://t.co/YKpfTBqCu2,Xaviermichel18,0,4,0,0,,"['Harvey', 'G1']","[Photo(previewUrl='https://pbs.twimg.com/media/DIjtKwXXYAAtuy1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIjtKwXXYAAtuy1?format=jpg&name=orig', altText=None)]",,,1
2478668,2478668,119983,2017-08-30 01:29:45+00:00,"9,02704864593105E+017","And it's still raining in SE Texas. ☹️5-day radar estimated rainfall total.

#Harvey #HarveyFlood https://t.co/HkNqTp1rH0","And it's still raining in SE Texas. ☹️5-day radar estimated rainfall total.

#Harvey #HarveyFlood https://t.co/HkNqTp1rH0",NWSDesMoines,0,5,6,1,,"['Harvey', 'HarveyFlood']","[Photo(previewUrl='https://pbs.twimg.com/media/DIcMDJQXgAA49dD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIcMDJQXgAA49dD?format=jpg&name=orig', altText=None)]",,,1
