Column1;Unnamed: 0;Unnamed: 0.1;Datetime;Tweet Id;Raw content;Text;Username;Reply Count;Retweet Count;Like Count;Quote Count;View Count;Hashtags;Media;Coordinates;Place;Informative/Not informative
3001548;3001548;642863;31/08/2017 07:37;9,0313E+17;Kudos to the first responders and to all of citizens volunteering their time to help the people effected by #Harvey https://t.co/WGg13SFl5V;Kudos to the first responders and to all of citizens volunteering their time to help the people effected by #Harvey https://t.co/WGg13SFl5V;CoachGallimore;0;3;13;0;;['Harvey'];https://pbs.twimg.com/media/DIiPbBPUIAACXKt?format=jpg&name=orig;;;0
1706187;1706187;514764;28/08/2017 18:18;9,02204E+17;"RT @imlejanea: 5300 s. Lake Houston Pkwy. 
#houstonflood 
#HurricaneHarvey https://t.co/tebmXz5xYL";"RT @imlejanea: 5300 s. Lake Houston Pkwy. 
#houstonflood 
#HurricaneHarvey https://t.co/tebmXz5xYL";xwynn_;0;123;0;0;;['houstonflood', 'HurricaneHarvey'];https://pbs.twimg.com/media/DIVAGxbUwAAjv1T?format=jpg&name=orig;;;0
2022325;2022325;251546;29/08/2017 05:32;9,02373E+17;"Those poor people in Houston. If only there was a place for them to go and seek refuge...like a large church...

#JoelOsteen #HoustonFloods https://t.co/NG7Lc2iAoG";"Those poor people in Houston. If only there was a place for them to go and seek refuge...like a large church...

#JoelOsteen #HoustonFloods https://t.co/NG7Lc2iAoG";charley_ck14;0;6;14;1;;['JoelOsteen', 'HoustonFloods'];https://pbs.twimg.com/media/DIXfYXEUIAEIXli?format=jpg&name=orig;;;0
3267810;3267810;909125;01/09/2017 05:55;9,03466E+17;RT @CNN: Satellite images show #Harvey's impact on Texas towns https://t.co/g4PtgBRDGA https://t.co/ksDDpHHFnb;RT @CNN: Satellite images show #Harvey's impact on Texas towns cnn.it/2wmKA0i https://t.co/ksDDpHHFnb;BrentGarrow;0;386;0;0;;['Harvey'];https://pbs.twimg.com/tweet_video_thumb/DInAaOSUQAADSQr.jpg;;;1
1263466;1263466;72043;27/08/2017 23:08;9,01914E+17;RT @PaulFox13: This is insane. #houstonflood https://t.co/oddenJiGnE;RT @PaulFox13: This is insane. #houstonflood https://t.co/oddenJiGnE;TamaraSedai;0;9670;0;0;;['houstonflood'];https://pbs.twimg.com/media/DIQcNTJWAAAyx5a?format=jpg&name=orig;;;1
2843797;2843797;485112;30/08/2017 22:50;9,02997E+17;"RT @PhotoTimeGeo: Just in 3 days. 
 #Houston #houstonflood  #HoustonFloods  #HarveyFlood  #Texas https://t.co/ZWyDYrsI9T";"RT @PhotoTimeGeo: Just in 3 days. 
 #Houston #houstonflood  #HoustonFloods  #HarveyFlood  #Texas https://t.co/ZWyDYrsI9T";Jessica43893087;0;144;0;0;;['Houston', 'houstonflood', 'HoustonFloods', 'HarveyFlood', 'Texas'];https://pbs.twimg.com/media/DIb3QP1UMAAY8kH?format=jpg&name=orig;;;1
154485;154485;154485;25/08/2017 05:47;9,00928E+17;RT @CNN: Slow-moving #HurricaneHarvey to douse Texas residents for days https://t.co/fg22tsxqfZ https://t.co/ZsukN2YAJg;RT @CNN: Slow-moving #HurricaneHarvey to douse Texas residents for days cnn.it/2wKAw1D https://t.co/ZsukN2YAJg;brad_bartender;0;341;0;0;;['HurricaneHarvey'];https://pbs.twimg.com/media/DICMc2zWsAE79Nn?format=jpg&name=orig;;;1
3349620;3349620;990935;01/09/2017 19:08;9,03666E+17;"Meet the people rescuing stranded pets from tropical storm Harvey #HurricaneHarvey 

https://t.co/sXBZphUd6D https://t.co/zKioN267x5";"Meet the people rescuing stranded pets from tropical storm Harvey #HurricaneHarvey 

theguardian.com/us-news/2017/a… https://t.co/zKioN267x5";Animals1st;1;22;27;0;;['HurricaneHarvey'];https://pbs.twimg.com/media/DIp3YcyXcAQDvPS?format=jpg&name=orig;;;0
2454002;2454002;95317;30/08/2017 02:43;9,02693E+17;RT @nh60dmook: HOUSTON WE GOTTA STICK TOGETHER #HarveyFlood #HurricaneHarvey https://t.co/9LNsdmhMKj;RT @nh60dmook: HOUSTON WE GOTTA STICK TOGETHER #HarveyFlood #HurricaneHarvey https://t.co/9LNsdmhMKj;lachontea;0;32515;0;0;;['HarveyFlood', 'HurricaneHarvey'];https://pbs.twimg.com/ext_tw_video_thumb/902328019464765440/pu/img/ygNMRmiHpxlbRaOb.jpg;;;1
361634;361634;361634;25/08/2017 23:11;9,0119E+17;RT @AmjadIsmail90: Even in a hurricane no one is taking the cowboys coolers ?? #Harvey2017 #houstontexans https://t.co/5fgSRGTh9d;RT @AmjadIsmail90: Even in a hurricane no one is taking the cowboys coolers ?? #Harvey2017 #houstontexans https://t.co/5fgSRGTh9d;KevinRubiokevin;0;5975;0;0;;['Harvey2017', 'houstontexans'];https://pbs.twimg.com/media/DIE7qIFUQAMmW8H?format=jpg&name=orig;;;0
