,Datetime,Tweet Id,Raw content,Text,Username,Reply Count,Retweet Count,Like Count,Quote Count,View Count,Hashtags,Media,Coordinates,Place
0,2017-08-27 03:22:30+00:00,901646074527535105,"RT @ajwamood: #ajwamood : Harvey the first major hurricane to strike the #US since 2005 , causes at least 1 fatality https://t.co/RvDkebyAAC","RT @ajwamood: #ajwamood : Harvey the first major hurricane to strike the #US since 2005 , causes at least 1 fatality https://t.co/RvDkebyAAC",91moon1,0,2,0,0,,"['ajwamood', 'US']","[Photo(previewUrl='https://pbs.twimg.com/media/DILxh_xWAAAfJDY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DILxh_xWAAAfJDY?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DILxiisXYAAokz_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DILxiisXYAAokz_?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DILxjSUWAAEIaWH?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DILxjSUWAAEIaWH?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/DILxkWJXgAANF-E?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DILxkWJXgAANF-E?format=jpg&name=orig', altText=None)]",,
1,2017-08-27 03:22:43+00:00,901646127895863296,Not always good when your city shows up on a severe weather map. 🌧⛈🌪 #HurricaneHarvey #ItAintOverYet https://t.co/rnuOd4zZ1o,Not always good when your city shows up on a severe weather map. 🌧⛈🌪 #HurricaneHarvey #ItAintOverYet https://t.co/rnuOd4zZ1o,2hazel_eyez,0,0,0,0,,"['HurricaneHarvey', 'ItAintOverYet']","[Photo(previewUrl='https://pbs.twimg.com/media/DINKP-iVwAIIRJi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINKP-iVwAIIRJi?format=jpg&name=orig', altText=None)]",,
2,2017-08-27 03:22:44+00:00,901646131628830721,RT @MSNBC: Side by side satellite images compare the size of Hurricane Harvey to Hurricane Katrina in 2005. https://t.co/8LemA9Ju1v,RT @MSNBC: Side by side satellite images compare the size of Hurricane Harvey to Hurricane Katrina in 2005. https://t.co/8LemA9Ju1v,TGODAnthony_,0,21466,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/DIGwD01UAAEz2yN?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DIGwD01UAAEz2yN?format=jpg&name=orig', altText=None)]",,
3,2017-08-27 03:23:08+00:00,901646234880024576,RT @stephentpaulsen: My street in SE #Houston is now a river. That light is from lightning; it's 10pm #Harvey https://t.co/cmlH5taind,RT @stephentpaulsen: My street in SE #Houston is now a river. That light is from lightning; it's 10pm #Harvey https://t.co/cmlH5taind,texyellowdogdem,0,47,0,0,,"['Houston', 'Harvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DINKJbSUIAEVo9y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINKJbSUIAEVo9y?format=jpg&name=orig', altText=None)]",,
4,2017-08-27 03:23:42+00:00,901646377620578304,Texas county's long recovery from Hurricane Harvey begins https://t.co/tf5pLVRIdC https://t.co/NDjZrZIFnD,Texas county's long recovery from Hurricane Harvey begins t-span.tv/texas-countys-… https://t.co/NDjZrZIFnD,tspanpolitics,0,0,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/DINKmcWVoAA6F3J?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINKmcWVoAA6F3J?format=jpg&name=orig', altText=None)]",,
5,2017-08-27 03:24:19+00:00,901646530922328064,A few showers from Harvey will be possible mid-late week in N GA. I'll have the latest on #Harvey at 6AM https://t.co/gBNIXtjfZ2,A few showers from Harvey will be possible mid-late week in N GA. I'll have the latest on #Harvey at 6AM https://t.co/gBNIXtjfZ2,KatieWallsTV,0,0,1,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DINKvbmWsAA5cfE?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINKvbmWsAA5cfE?format=jpg&name=orig', altText=None)]",,
6,2017-08-27 03:24:38+00:00,901646610916106240,RT @HuffPost: Photos show devastation left behind from Hurricane Harvey https://t.co/PodBd8r3u7 https://t.co/MvTQeDpbgw,RT @HuffPost: Photos show devastation left behind from Hurricane Harvey huffp.st/CxD0hBV https://t.co/MvTQeDpbgw,Northwindac2014,0,39,0,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/DINE-bpXkAAetx5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINE-bpXkAAetx5?format=jpg&name=orig', altText=None)]",,
7,2017-08-27 03:39:23+00:00,901650321914687488,"RT @DylanBaddour: This photo from Meyerland area, southwest Houston. Shared by a resident there. #houwx #harvey https://t.co/qYu6bwe4DF","RT @DylanBaddour: This photo from Meyerland area, southwest Houston. Shared by a resident there. #houwx #harvey https://t.co/qYu6bwe4DF",Squirrel_MA,0,289,0,0,,"['houwx', 'harvey']","[Photo(previewUrl='https://pbs.twimg.com/media/DINLza4UEAAr15Q?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINLza4UEAAr15Q?format=jpg&name=orig', altText=None)]",,
8,2017-08-27 03:39:50+00:00,901650435391541250,Meanwhile in Houston... No car has a chance bro! 🌀🌀🌪🌪🌧🌧🌧😕😩 #Harvey https://t.co/5PwmQ1reSR https://t.co/uBjSL04fhO,Meanwhile in Houston... No car has a chance bro! 🌀🌀🌪🌪🌧🌧🌧😕😩 #Harvey ift.tt/2xCX5Cu https://t.co/uBjSL04fhO,marcvaldezzz,0,0,0,0,,['Harvey'],"[Photo(previewUrl='https://pbs.twimg.com/media/DINOSsiXkAA8YNV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINOSsiXkAA8YNV?format=jpg&name=orig', altText=None)]",,
9,2017-08-27 03:39:54+00:00,901650454832185344,There was really a tornado crazy https://t.co/yhryvidFlO,There was really a tornado crazy https://t.co/yhryvidFlO,meechhtx,0,0,1,0,,,"[Photo(previewUrl='https://pbs.twimg.com/media/DINOTOTVwAAUWgj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/DINOTOTVwAAUWgj?format=jpg&name=orig', altText=None)]",,
